,sadness,joy,love,anger,fear,surprise,timecode_by_seconds
0,0.0725390687584877,0.41598477959632874,0.021461470052599907,0.3058517277240753,0.16702602803707123,0.017136894166469574,1616236909.0002
1,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1617896775.0003
2,0.07625072449445724,0.07890570908784866,0.014845435507595539,0.5259517431259155,0.2900609076023102,0.013985474593937397,1620899613.0014
3,0.058232638984918594,0.08355798572301865,0.010807002894580364,0.7036336660385132,0.13524094223976135,0.008527825586497784,1620200078.006
4,0.03980566933751106,0.029209071770310402,0.009691059589385986,0.8207852244377136,0.09518671035766602,0.005322272423654795,1620211287.0064
5,0.05162157118320465,0.2993597686290741,0.02937786467373371,0.41311249136924744,0.1973017007112503,0.00922661554068327,1620213007.0069
6,0.0034921106416732073,0.9726886749267578,0.011201235465705395,0.005337634589523077,0.004007254261523485,0.0032731422688812017,1620241557.0073
7,0.05337070673704147,0.3700195848941803,0.025773119181394577,0.40736743807792664,0.12721289694309235,0.016256233677268028,1618244604.0019
8,0.09918339550495148,0.24607190489768982,0.027005909010767937,0.45993536710739136,0.15485049784183502,0.012952936813235283,1618244613.0023
9,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1618296887.0026
10,0.10164957493543625,0.13614270091056824,0.02101750113070011,0.40952855348587036,0.31659966707229614,0.01506197452545166,1618304182.0033
11,0.013235477730631828,0.30846235156059265,0.3420020341873169,0.3055664896965027,0.020563488826155663,0.010170149616897106,1618315350.0037
12,0.024917565286159515,0.7289242148399353,0.024212617427110672,0.14904460310935974,0.057700105011463165,0.015200860798358917,1618316235.0043
13,0.01743968203663826,0.8241104483604431,0.036330658942461014,0.09658561646938324,0.021058738231658936,0.004474917892366648,1618317550.0047
14,0.04181118682026863,0.4311703145503998,0.02593248523771763,0.31903666257858276,0.16063283383846283,0.02141650952398777,1618321837.005
15,0.08906304091215134,0.11678232252597809,0.017105581238865852,0.5420631766319275,0.22313638031482697,0.0118494164198637,1618322349.0055
16,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1620161835.0054
17,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1619716257.0002
18,0.0653248131275177,0.08470478653907776,0.013453253544867039,0.6999076008796692,0.1279839426279068,0.008625609800219536,1619716277.0004
19,0.0008797793416306376,0.9961683750152588,0.0017531940247863531,0.00047209879267029464,0.0002549877390265465,0.0004715479153674096,1619716475.0006
20,0.03616262599825859,0.4121561646461487,0.02809249237179756,0.2920641303062439,0.2141982614994049,0.01732633262872696,1619716488.0008
21,0.09026634693145752,0.1252468377351761,0.02414853684604168,0.5602895617485046,0.18701298534870148,0.013035700656473637,1619716517.0010002
22,0.03807329013943672,0.3774299621582031,0.02243008092045784,0.13818024098873138,0.3948837220668793,0.02900278940796852,1619716538.0012
23,0.1223086565732956,0.07613082230091095,0.015120654366910458,0.4526355564594269,0.31819021701812744,0.015614043921232224,1619716551.0015
24,0.04830228164792061,0.3712409436702728,0.026760626584291458,0.18058368563652039,0.3528846502304077,0.020227830857038498,1619717258.0017
25,0.02620379626750946,0.04217313602566719,0.009073829278349876,0.8481811881065369,0.06803279370069504,0.006335284560918808,1619717271.002
26,0.05257323011755943,0.11259488761425018,0.021011319011449814,0.6002599596977234,0.20585936307907104,0.0077013056725263596,1620817950.0010002
27,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1620030749.0039
28,0.08619485795497894,0.11070988327264786,0.02029505744576454,0.6017309427261353,0.17017395794391632,0.01089523732662201,1620030925.0041
29,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1620053272.0045
30,0.06656018644571304,0.09610757231712341,0.02160876989364624,0.692320704460144,0.11336144059896469,0.010041370056569576,1620054563.0049
31,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1618393356.0002
32,0.06477349251508713,0.06641607731580734,0.014472462236881256,0.6040945649147034,0.24074390530586243,0.009499507956206799,1618393774.0005
33,0.1276974380016327,0.11397774517536163,0.013828623108565807,0.5137320160865784,0.21733936667442322,0.013424822129309177,1618393913.0007
34,0.06789164990186691,0.11085232347249985,0.01569194346666336,0.4504578411579132,0.34160497784614563,0.013501227833330631,1618394491.0013
35,0.03257240355014801,0.027096793055534363,0.0062355478294193745,0.8450925350189209,0.08430193364620209,0.004700819030404091,1618407527.0019
36,0.05974816158413887,0.16704106330871582,0.019744891673326492,0.5652148127555847,0.17741850018501282,0.010832532308995724,1616750370.0004
37,0.0040927608497440815,0.41195914149284363,0.49562788009643555,0.07103053480386734,0.006932055111974478,0.010357673279941082,1616750417.0006
38,0.17768387496471405,0.15717993676662445,0.17258471250534058,0.17855200171470642,0.16715358197689056,0.14684584736824036,1616750650.0012
39,0.04199787229299545,0.041366998106241226,0.010290991514921188,0.8230565786361694,0.07774569094181061,0.005541927181184292,1616773498.0016
